experiment_block,experiment_turn,memory_fraction,message_maxSize,executor_cores,parallelism,time_to_run_join,time_to_run_groubySort,time_to_run_count,total_time
Experiment Block: 18,Experiment turn: 1,0.8,300,1,500,0.03337717056274414,0.029204845428466797,0.5796973705291748,0.6422793865203857
Experiment Block: 18,Experiment turn: 2,0.8,300,1,500,0.02911853790283203,0.027905702590942383,0.25427961349487305,0.31130385398864746
Experiment Block: 18,Experiment turn: 3,0.8,300,1,500,0.029344558715820312,0.028326034545898438,0.1675093173980713,0.22517991065979004
Experiment Block: 19,Experiment turn: 1,0.8,500,5,50,0.033153533935546875,0.028682708740234375,0.6061630249023438,0.667999267578125
Experiment Block: 19,Experiment turn: 2,0.8,500,5,50,0.030971765518188477,0.029500484466552734,0.24288201332092285,0.30335426330566406
Experiment Block: 19,Experiment turn: 3,0.8,500,5,50,0.03110218048095703,0.02971196174621582,0.18161630630493164,0.2424304485321045
Experiment Block: 20,Experiment turn: 1,0.8,500,5,500,0.034990549087524414,0.028341054916381836,0.6575319766998291,0.7208635807037354
Experiment Block: 20,Experiment turn: 2,0.8,500,5,500,0.03415799140930176,0.035393476486206055,0.21923160552978516,0.28878307342529297
Experiment Block: 20,Experiment turn: 3,0.8,500,5,500,0.029431581497192383,0.028683900833129883,0.19336438179016113,0.2514798641204834
Experiment Block: 21,Experiment turn: 1,0.8,500,3,50,0.03275918960571289,0.028794050216674805,0.5999677181243896,0.6615209579467773
Experiment Block: 21,Experiment turn: 2,0.8,500,3,50,0.02892160415649414,0.027898311614990234,0.22009062767028809,0.27691054344177246
Experiment Block: 21,Experiment turn: 3,0.8,500,3,50,0.02817988395690918,0.02788543701171875,0.1959686279296875,0.25203394889831543
Experiment Block: 22,Experiment turn: 1,0.8,500,3,500,0.03376960754394531,0.028334379196166992,0.5551855564117432,0.6172895431518555
Experiment Block: 22,Experiment turn: 2,0.8,500,3,500,0.0283048152923584,0.027973413467407227,0.22461199760437012,0.28089022636413574
Experiment Block: 22,Experiment turn: 3,0.8,500,3,500,0.029246807098388672,0.028789997100830078,0.2151498794555664,0.27318668365478516
Experiment Block: 23,Experiment turn: 1,0.8,500,1,50,0.03343081474304199,0.028589963912963867,0.5939512252807617,0.6559720039367676
Experiment Block: 23,Experiment turn: 2,0.8,500,1,50,0.03135490417480469,0.029946565628051758,0.22637581825256348,0.2876772880554199
Experiment Block: 23,Experiment turn: 3,0.8,500,1,50,0.028578758239746094,0.027844667434692383,0.16531062126159668,0.22173404693603516
Experiment Block: 24,Experiment turn: 1,0.8,500,1,500,0.03809356689453125,0.029830455780029297,0.6026458740234375,0.670569896697998
Experiment Block: 24,Experiment turn: 2,0.8,500,1,500,0.02967548370361328,0.02859020233154297,0.21581649780273438,0.2740821838378906
Experiment Block: 24,Experiment turn: 3,0.8,500,1,500,0.02862834930419922,0.02837204933166504,0.1976759433746338,0.25467634201049805
